Kwh,name,datetime,temp,feelslike,dew,humidity,precip,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,icon
0.0,"Kozani, Greece",2022-01-01 00:00:00,6.0,4.4,2.0,75.51,0.0,0.0,0.0,19.8,7.6,240.0,1023.0,0.0,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-01 01:00:00,6.0,5.0,2.0,75.51,0.0,0.0,0.0,19.8,5.4,298.1,1023.0,0.0,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-01 02:00:00,4.9,3.2,2.0,81.61,0.0,,0.0,20.5,7.6,301.0,1022.4,40.9,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-01 03:00:00,4.0,4.0,1.0,80.8,0.0,,0.0,20.5,3.6,294.8,1022.0,38.0,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-01 04:00:00,3.0,1.6,2.0,93.14,0.0,,0.0,19.8,5.4,292.3,1021.0,41.7,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-01 05:00:00,3.0,3.0,2.0,93.11,0.0,,0.0,19.6,3.6,296.0,1021.0,39.6,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-01 06:00:00,4.0,1.2,2.0,86.8,0.0,,0.0,20.9,11.2,360.0,1021.0,44.7,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-01 07:00:00,6.0,3.6,2.0,75.51,0.0,0.0,0.0,22.3,11.2,340.0,1021.0,63.9,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0305,"Kozani, Greece",2022-01-01 08:00:00,5.0,1.8,2.0,80.95,0.0,0.0,0.0,22.3,14.7,340.0,1021.0,49.9,10.0,6.0,0.0,0.0,Partially cloudy,partly-cloudy-day
0.0991,"Kozani, Greece",2022-01-01 09:00:00,6.0,3.6,3.0,81.08,0.0,0.0,0.0,23.0,11.2,290.0,1021.0,50.0,10.0,23.0,0.1,0.0,Partially cloudy,partly-cloudy-day
0.395,"Kozani, Greece",2022-01-01 10:00:00,7.0,4.2,3.0,75.68,0.0,0.0,0.0,24.1,14.8,290.0,1021.0,50.0,10.0,140.0,0.5,1.0,Partially cloudy,partly-cloudy-day
0.4702,"Kozani, Greece",2022-01-01 11:00:00,11.0,11.0,3.0,57.81,0.0,0.0,0.0,30.3,13.0,310.0,1021.0,49.9,10.0,356.0,1.3,4.0,Partially cloudy,partly-cloudy-day
0.4801,"Kozani, Greece",2022-01-01 12:00:00,14.0,14.0,3.0,47.46,0.0,0.0,0.0,25.6,0.0,0.0,1021.0,50.0,10.0,326.0,1.2,3.0,Partially cloudy,partly-cloudy-day
0.4263,"Kozani, Greece",2022-01-01 13:00:00,14.0,14.0,3.0,47.46,0.0,0.0,0.0,27.4,0.0,0.0,1021.0,50.0,10.0,494.0,1.8,5.0,Partially cloudy,partly-cloudy-day
0.2758,"Kozani, Greece",2022-01-01 14:00:00,15.0,15.0,1.0,38.59,0.0,0.0,0.0,30.3,9.4,20.0,1020.0,25.7,10.0,445.0,1.6,4.0,Partially cloudy,partly-cloudy-day
0.1806,"Kozani, Greece",2022-01-01 15:00:00,16.0,16.0,1.0,36.18,0.0,0.0,0.0,28.8,9.4,360.0,1020.0,4.8,,345.0,1.2,3.0,Clear,clear-day
0.0665,"Kozani, Greece",2022-01-01 16:00:00,15.0,15.0,4.0,47.74,0.0,0.0,0.0,28.1,3.6,343.3,1020.0,0.0,,202.0,0.7,2.0,Clear,clear-day
0.0,"Kozani, Greece",2022-01-01 17:00:00,14.0,14.0,2.0,44.21,0.0,0.0,0.0,27.9,3.6,360.0,1021.0,0.0,,31.0,0.1,0.0,Clear,clear-day
0.0,"Kozani, Greece",2022-01-01 18:00:00,13.0,13.0,0.0,40.85,0.0,0.0,0.0,29.2,14.8,10.0,1021.0,0.0,,9.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-01 19:00:00,12.0,12.0,1.0,46.89,0.0,0.0,0.0,29.5,14.8,330.0,1021.0,0.4,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-01 20:00:00,10.0,8.7,1.0,53.57,0.0,0.0,0.0,29.9,9.4,320.0,1022.0,0.0,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-01 21:00:00,9.0,7.2,1.0,57.27,0.0,0.0,0.0,29.9,11.2,330.0,1022.0,0.0,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-01 22:00:00,6.0,4.4,1.0,70.29,0.0,0.0,0.0,28.8,7.6,30.0,1023.0,0.7,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-01 23:00:00,9.0,7.2,0.0,53.31,0.0,0.0,0.0,30.0,11.1,320.0,1023.0,0.7,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-02 00:00:00,8.0,5.4,1.0,61.29,0.0,0.0,0.0,31.7,14.8,340.0,1023.0,8.5,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-02 01:00:00,9.0,6.9,0.0,53.28,0.0,0.0,0.0,30.6,13.0,360.0,1023.0,0.0,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-02 02:00:00,9.0,6.7,0.0,53.32,0.0,,0.0,25.8,14.7,340.0,1024.0,0.0,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-02 03:00:00,8.0,5.4,1.0,61.29,0.0,,0.0,27.7,14.8,350.0,1024.0,8.0,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-02 04:00:00,8.0,5.7,1.0,61.29,0.0,,0.0,25.6,13.0,350.0,1024.0,1.0,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-02 05:00:00,7.0,5.1,0.0,61.07,0.0,,0.0,21.2,9.4,20.0,1024.0,0.4,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-02 06:00:00,7.0,4.8,1.0,65.62,0.0,,0.0,23.0,11.2,340.0,1025.0,9.1,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-02 07:00:00,7.0,4.8,1.0,65.62,0.0,0.0,0.0,21.6,11.2,350.0,1025.0,7.7,,0.0,0.0,0.0,Clear,clear-night
0.0419,"Kozani, Greece",2022-01-02 08:00:00,7.0,7.0,0.0,61.09,0.0,0.0,0.0,20.9,0.0,360.0,1025.0,0.0,10.0,9.0,0.0,0.0,Clear,clear-day
0.1913,"Kozani, Greece",2022-01-02 09:00:00,6.0,6.0,1.0,70.29,0.0,0.0,0.0,19.8,0.0,0.0,1026.0,40.9,10.0,46.0,0.2,0.0,Partially cloudy,partly-cloudy-day
0.3666,"Kozani, Greece",2022-01-02 10:00:00,11.0,11.0,1.0,50.1,0.0,0.0,0.0,16.9,0.0,0.0,1026.0,14.2,10.0,132.0,0.5,1.0,Clear,clear-day
0.462,"Kozani, Greece",2022-01-02 11:00:00,12.0,12.0,1.0,46.92,0.0,0.0,0.0,24.4,16.5,350.0,1026.0,0.0,10.0,339.0,1.2,3.0,Clear,clear-day
0.4802,"Kozani, Greece",2022-01-02 12:00:00,12.0,12.0,1.0,46.89,0.0,0.0,0.0,18.4,16.6,350.0,1026.0,0.0,10.0,418.0,1.5,4.0,Clear,clear-day
0.4391,"Kozani, Greece",2022-01-02 13:00:00,14.0,14.0,1.0,41.15,0.0,0.0,0.0,18.4,13.0,360.0,1026.0,0.0,10.0,437.0,1.6,4.0,Clear,clear-day
0.3347,"Kozani, Greece",2022-01-02 14:00:00,14.0,14.0,1.0,41.14,0.0,0.0,0.0,29.5,9.3,350.0,1025.0,25.7,10.0,402.0,1.4,4.0,Partially cloudy,partly-cloudy-day
0.194,"Kozani, Greece",2022-01-02 15:00:00,14.0,14.0,0.0,38.28,0.0,0.0,0.0,15.5,5.4,326.5,1025.0,0.0,,317.0,1.1,3.0,Clear,clear-day
0.0651,"Kozani, Greece",2022-01-02 16:00:00,14.0,14.0,2.0,44.2,0.0,0.0,0.0,13.0,3.6,315.6,1024.0,0.0,,187.0,0.7,2.0,Clear,clear-day
0.0,"Kozani, Greece",2022-01-02 17:00:00,12.0,12.0,2.0,50.39,0.0,0.0,0.0,15.7,3.6,325.0,1025.0,0.0,,25.0,0.1,0.0,Clear,clear-day
0.0,"Kozani, Greece",2022-01-02 18:00:00,8.0,7.3,2.0,65.84,0.0,0.0,0.0,7.9,5.4,214.5,1025.0,0.0,,7.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-02 19:00:00,7.0,5.6,2.0,70.49,0.0,0.0,0.0,9.0,7.6,350.0,1025.0,0.0,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-02 20:00:00,6.0,4.0,2.0,75.52,0.0,0.0,0.0,9.0,9.2,359.0,1025.0,0.0,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-02 21:00:00,6.0,4.0,2.0,75.51,0.0,0.0,0.0,10.4,9.4,350.0,1025.0,0.0,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-02 22:00:00,3.0,0.9,1.0,86.7,0.0,0.0,0.0,10.4,7.6,360.0,1025.0,0.0,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-02 23:00:00,5.0,2.8,2.0,80.95,0.0,0.0,0.0,11.1,9.2,359.0,1024.0,0.0,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-03 00:00:00,4.0,1.6,1.0,80.8,0.0,0.0,0.0,11.9,9.4,20.0,1024.0,0.0,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-03 01:00:00,4.0,2.1,1.0,80.8,0.0,0.0,0.0,13.7,7.6,20.0,1023.0,41.7,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-03 02:00:00,4.0,2.1,1.0,80.82,0.0,,0.0,12.4,7.5,19.0,1023.0,42.3,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-03 03:00:00,4.0,2.8,1.0,80.8,0.0,,0.0,15.8,5.4,274.2,1022.0,41.7,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-03 04:00:00,3.0,3.0,1.0,86.7,0.0,,0.0,16.2,3.6,268.9,1021.0,72.2,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-03 05:00:00,3.0,3.0,1.0,86.71,0.0,,0.0,12.0,1.9,299.0,1021.0,99.0,,0.0,0.0,0.0,Overcast,cloudy
0.0,"Kozani, Greece",2022-01-03 06:00:00,3.0,1.6,1.0,86.7,0.0,,0.0,18.7,5.4,267.9,1020.0,96.6,,0.0,0.0,0.0,Overcast,cloudy
0.0,"Kozani, Greece",2022-01-03 07:00:00,3.0,1.6,1.0,86.7,0.0,0.0,0.0,19.1,5.4,279.6,1020.0,98.8,,0.0,0.0,0.0,Overcast,cloudy
0.0481,"Kozani, Greece",2022-01-03 08:00:00,1.0,-1.4,0.0,93.02,0.0,0.0,0.0,19.4,7.5,341.0,1020.0,0.0,20.0,10.0,0.0,0.0,Clear,clear-day
0.2099,"Kozani, Greece",2022-01-03 09:00:00,4.0,4.0,2.0,86.8,0.0,0.0,0.0,20.2,3.6,277.3,1020.0,91.7,,55.0,0.2,1.0,Overcast,cloudy
0.3747,"Kozani, Greece",2022-01-03 10:00:00,8.0,8.0,3.0,70.69,0.0,0.0,0.0,20.2,3.6,280.5,1020.0,92.5,,138.0,0.5,1.0,Overcast,cloudy
0.4502,"Kozani, Greece",2022-01-03 11:00:00,10.0,10.0,3.0,61.8,0.0,0.0,0.0,22.8,3.6,357.0,1020.0,69.7,,335.0,1.2,3.0,Partially cloudy,partly-cloudy-day
0.4822,"Kozani, Greece",2022-01-03 12:00:00,11.0,11.0,3.0,57.79,0.0,0.0,0.0,20.5,3.6,285.2,1019.0,9.8,,447.0,1.6,4.0,Clear,clear-day
0.4421,"Kozani, Greece",2022-01-03 13:00:00,13.0,13.0,3.0,50.65,0.0,0.0,0.0,22.0,3.6,284.8,1018.0,5.4,,344.0,1.2,3.0,Clear,clear-day
0.341,"Kozani, Greece",2022-01-03 14:00:00,14.0,14.0,3.0,47.43,0.0,0.0,0.0,17.9,5.4,270.0,1017.0,0.4,,361.0,1.3,4.0,Clear,clear-day
0.2024,"Kozani, Greece",2022-01-03 15:00:00,14.0,14.0,0.0,38.28,0.0,0.0,0.0,20.5,3.6,251.4,1016.0,73.6,,325.0,1.2,3.0,Partially cloudy,partly-cloudy-day
0.0685,"Kozani, Greece",2022-01-03 16:00:00,16.0,16.0,-1.0,31.29,0.0,0.0,0.0,20.2,1.8,251.6,1016.0,64.2,,203.0,0.7,2.0,Partially cloudy,partly-cloudy-day
0.0003,"Kozani, Greece",2022-01-03 17:00:00,14.0,14.0,0.0,38.31,0.0,0.0,0.0,10.3,1.8,350.0,1016.0,90.1,,47.0,0.2,0.0,Overcast,cloudy
0.0,"Kozani, Greece",2022-01-03 18:00:00,8.0,6.7,0.0,57.02,0.0,0.0,0.0,21.6,7.6,40.0,1016.0,34.1,,6.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-03 19:00:00,7.0,6.2,-1.0,56.76,0.0,0.0,0.0,22.7,5.4,220.3,1016.0,36.4,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-03 20:00:00,7.0,5.2,-2.0,52.78,0.0,0.0,0.0,23.4,9.3,320.0,1016.0,40.1,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-03 21:00:00,8.0,6.3,-3.0,45.74,0.0,0.0,0.0,29.9,9.4,320.0,1016.0,7.8,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-03 22:00:00,10.0,9.1,-3.0,39.97,0.0,0.0,0.0,22.0,7.6,320.0,1016.0,1.8,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-03 23:00:00,8.0,7.3,-2.0,49.32,0.0,0.0,0.0,25.7,5.4,272.8,1016.0,87.4,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-04 00:00:00,8.0,6.7,-2.0,49.26,0.0,0.0,0.0,20.2,7.6,330.0,1017.0,68.2,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-04 01:00:00,8.0,6.7,-1.0,53.01,0.0,0.0,0.0,19.4,7.6,330.0,1017.0,78.0,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-04 02:00:00,6.0,4.0,0.0,65.42,0.0,,0.0,19.1,9.4,300.0,1017.0,91.2,,0.0,0.0,0.0,Overcast,cloudy
0.0,"Kozani, Greece",2022-01-04 03:00:00,6.0,4.0,0.0,65.39,0.0,,0.0,18.0,9.4,280.0,1017.0,89.9,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-04 04:00:00,7.0,6.2,0.0,61.04,0.0,,0.0,17.6,5.4,284.9,1016.0,98.4,,0.0,0.0,0.0,Overcast,cloudy
0.0,"Kozani, Greece",2022-01-04 05:00:00,6.0,4.4,0.0,65.43,0.0,,0.0,16.9,7.6,340.0,1016.0,99.3,,0.0,0.0,0.0,Overcast,cloudy
0.0,"Kozani, Greece",2022-01-04 06:00:00,4.0,2.8,0.0,75.17,0.0,,0.0,16.6,5.4,305.0,1016.0,100.0,,0.0,0.0,0.0,Overcast,cloudy
0.0,"Kozani, Greece",2022-01-04 07:00:00,4.0,1.6,0.0,75.17,0.0,0.0,0.0,15.5,9.4,340.0,1017.0,99.7,,0.0,0.0,0.0,Overcast,cloudy
0.0456,"Kozani, Greece",2022-01-04 08:00:00,3.0,0.4,-1.0,75.01,0.0,0.0,0.0,15.8,9.3,340.0,1017.0,25.6,10.0,9.0,0.0,0.0,Partially cloudy,partly-cloudy-day
0.2005,"Kozani, Greece",2022-01-04 09:00:00,5.0,2.8,0.0,70.09,0.0,0.0,0.0,16.2,9.4,350.0,1017.0,25.7,10.0,48.0,0.2,0.0,Partially cloudy,partly-cloudy-day
0.3659,"Kozani, Greece",2022-01-04 10:00:00,10.0,10.0,0.0,49.82,0.0,0.0,0.0,16.6,0.0,0.0,1017.0,25.7,10.0,143.0,0.5,1.0,Partially cloudy,partly-cloudy-day
0.422,"Kozani, Greece",2022-01-04 11:00:00,10.0,10.0,0.0,49.87,0.0,0.0,0.0,20.0,0.0,360.0,1018.0,25.7,10.0,353.0,1.3,4.0,Partially cloudy,partly-cloudy-day
0.3354,"Kozani, Greece",2022-01-04 12:00:00,11.0,11.0,1.0,50.1,0.0,0.0,0.0,19.1,0.0,0.0,1017.0,25.7,10.0,400.0,1.4,4.0,Partially cloudy,partly-cloudy-day
0.4611,"Kozani, Greece",2022-01-04 13:00:00,11.0,11.0,0.0,46.61,0.0,0.0,0.0,19.1,0.0,0.0,1016.0,25.7,10.0,348.0,1.3,3.0,Partially cloudy,partly-cloudy-day
0.3506,"Kozani, Greece",2022-01-04 14:00:00,13.0,13.0,1.0,43.93,0.0,0.0,0.0,17.9,0.0,360.0,1016.0,25.7,10.0,291.0,1.0,3.0,Partially cloudy,partly-cloudy-day
0.2022,"Kozani, Greece",2022-01-04 15:00:00,13.0,13.0,1.0,43.92,0.0,0.0,0.0,18.0,0.0,0.0,1015.0,25.7,10.0,221.0,0.8,2.0,Partially cloudy,partly-cloudy-day
0.0766,"Kozani, Greece",2022-01-04 16:00:00,13.0,13.0,1.0,43.92,0.0,0.0,0.0,17.6,3.6,237.8,1014.0,88.9,,198.0,0.7,2.0,Partially cloudy,partly-cloudy-day
0.0001,"Kozani, Greece",2022-01-04 17:00:00,12.0,12.0,1.0,46.92,0.0,0.0,0.0,14.8,3.6,257.0,1014.0,83.3,,47.0,0.2,0.0,Partially cloudy,partly-cloudy-day
0.0,"Kozani, Greece",2022-01-04 18:00:00,9.0,8.5,1.0,57.27,0.0,0.0,0.0,17.3,5.4,229.4,1014.0,78.4,,8.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-04 19:00:00,8.0,7.3,0.0,57.02,0.0,0.0,0.0,18.7,5.4,241.6,1014.0,70.5,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-04 20:00:00,6.0,5.0,0.0,65.43,0.0,0.0,0.0,20.5,5.4,312.0,1014.0,31.4,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-04 21:00:00,6.0,4.4,1.0,70.29,0.0,0.0,0.0,22.0,7.6,20.0,1014.0,3.8,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-04 22:00:00,5.0,3.9,1.0,75.34,0.0,0.0,0.0,21.2,5.4,248.0,1014.0,6.4,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-04 23:00:00,6.0,4.4,1.0,70.34,0.0,0.0,0.0,12.1,7.6,20.0,1014.0,12.5,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-05 00:00:00,6.0,5.0,1.0,70.29,0.0,0.0,0.0,21.6,5.4,255.9,1014.0,20.2,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-05 01:00:00,4.0,4.0,1.0,80.8,0.0,0.0,0.0,20.9,1.8,258.6,1013.0,31.7,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-05 02:00:00,4.0,1.6,1.0,80.83,0.0,,0.0,9.9,9.3,359.0,1013.0,39.1,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-05 03:00:00,4.0,2.1,0.0,75.17,0.0,,0.0,20.2,7.6,350.0,1013.0,41.2,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-05 04:00:00,5.0,2.8,0.0,70.09,0.0,,0.0,20.9,9.4,360.0,1013.0,47.0,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-05 05:00:00,3.0,1.6,0.0,80.7,0.0,,0.0,9.5,5.4,280.0,1012.0,57.1,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-05 06:00:00,4.0,1.2,0.0,75.17,0.0,,0.0,20.2,11.2,30.0,1012.0,90.3,,0.0,0.0,0.0,Overcast,cloudy
0.0,"Kozani, Greece",2022-01-05 07:00:00,3.0,3.0,0.0,80.66,0.0,0.0,0.0,20.5,1.8,261.0,1012.0,95.8,,0.0,0.0,0.0,Overcast,cloudy
0.0466,"Kozani, Greece",2022-01-05 08:00:00,2.0,2.0,-1.0,80.56,0.0,0.0,0.0,20.5,0.1,42.0,1012.0,0.0,10.0,7.0,0.0,0.0,Clear,clear-day
0.2004,"Kozani, Greece",2022-01-05 09:00:00,6.0,6.0,1.0,70.29,0.0,0.0,0.0,22.3,0.0,0.0,1013.0,100.0,10.0,54.0,0.2,1.0,Overcast,cloudy
0.3719,"Kozani, Greece",2022-01-05 10:00:00,9.0,9.0,2.0,61.53,0.0,0.0,0.0,22.0,0.0,0.0,1013.0,95.4,10.0,113.0,0.4,1.0,Overcast,cloudy
0.4625,"Kozani, Greece",2022-01-05 11:00:00,11.0,11.0,2.0,53.87,0.0,0.0,0.0,9.4,0.1,360.0,1013.0,0.0,10.0,304.0,1.1,3.0,Clear,clear-day
0.4781,"Kozani, Greece",2022-01-05 12:00:00,13.0,13.0,2.0,47.18,0.0,0.0,0.0,22.7,9.4,140.0,1012.0,26.1,10.0,401.0,1.4,4.0,Partially cloudy,partly-cloudy-day
0.4397,"Kozani, Greece",2022-01-05 13:00:00,14.0,14.0,2.0,44.2,0.0,0.0,0.0,24.5,7.6,140.0,1012.0,8.9,10.0,427.0,1.5,4.0,Clear,clear-day
0.341,"Kozani, Greece",2022-01-05 14:00:00,15.0,15.0,2.0,41.47,0.0,0.0,0.0,13.0,7.5,140.0,1011.0,0.0,10.0,402.0,1.4,4.0,Clear,clear-day
0.2001,"Kozani, Greece",2022-01-05 15:00:00,16.0,16.0,2.0,38.87,0.0,0.0,0.0,26.6,0.0,0.0,1010.0,1.3,10.0,314.0,1.1,3.0,Clear,clear-day
0.0456,"Kozani, Greece",2022-01-05 16:00:00,16.0,16.0,1.0,36.18,0.0,0.0,0.0,26.3,0.0,0.0,1010.0,3.3,10.0,192.0,0.7,2.0,Clear,clear-day
0.0001,"Kozani, Greece",2022-01-05 17:00:00,14.0,14.0,2.0,44.24,0.0,0.0,0.0,12.0,3.6,354.0,1010.0,0.0,10.0,37.0,0.1,0.0,Clear,clear-day
0.0,"Kozani, Greece",2022-01-05 18:00:00,12.0,12.0,0.0,43.63,0.0,0.0,0.0,24.5,9.4,160.0,1010.0,11.8,,6.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-05 19:00:00,8.0,8.0,0.0,57.02,0.0,0.0,0.0,24.8,3.6,207.1,1011.0,15.1,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-05 20:00:00,8.0,6.3,0.0,57.05,0.0,0.0,0.0,24.5,9.4,360.0,1011.0,12.3,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-05 21:00:00,8.0,6.7,0.0,57.02,0.0,0.0,0.0,28.1,7.6,350.0,1011.0,19.8,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-05 22:00:00,7.0,5.1,-1.0,56.76,0.0,0.0,0.0,26.6,9.4,70.0,1011.0,16.5,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-05 23:00:00,7.0,5.6,-1.0,56.79,0.0,0.0,0.0,21.7,7.6,60.0,1011.0,16.8,,0.0,0.0,0.0,Clear,clear-night
0.0,"Kozani, Greece",2022-01-06 00:00:00,6.0,5.0,-2.0,56.49,0.0,0.0,0.0,27.7,5.4,172.0,1011.0,22.3,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-06 01:00:00,7.0,5.1,-2.0,52.74,0.0,0.0,0.0,28.1,9.4,10.0,1011.0,27.4,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-06 02:00:00,7.0,5.1,-2.0,52.79,0.0,,0.0,19.3,9.4,350.0,1011.0,23.7,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-06 03:00:00,7.0,6.2,-2.0,52.74,0.0,,0.0,27.7,5.4,170.9,1011.0,21.4,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-06 04:00:00,8.0,6.7,-2.0,49.26,0.0,,0.0,27.7,7.6,20.0,1011.0,55.3,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-06 05:00:00,6.0,5.0,-2.0,56.54,0.0,,0.0,16.2,5.4,254.0,1012.0,86.6,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-06 06:00:00,6.0,4.0,-1.0,60.8,0.0,,0.0,26.6,9.4,350.0,1012.0,89.0,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0,"Kozani, Greece",2022-01-06 07:00:00,6.0,4.0,-2.0,56.49,0.0,0.0,0.0,25.9,9.4,340.0,1012.0,84.6,,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
0.0326,"Kozani, Greece",2022-01-06 08:00:00,7.0,7.0,-2.0,52.78,0.0,0.0,0.0,24.5,0.0,360.0,1012.0,50.0,10.0,8.0,0.0,0.0,Partially cloudy,partly-cloudy-day
0.1274,"Kozani, Greece",2022-01-06 09:00:00,6.0,4.4,-1.0,60.8,0.0,0.0,0.0,27.0,7.6,360.0,1012.0,50.0,10.0,50.0,0.2,1.0,Partially cloudy,partly-cloudy-day
0.2095,"Kozani, Greece",2022-01-06 10:00:00,11.0,11.0,-1.0,43.33,0.0,0.0,0.0,25.9,0.0,0.0,1012.0,50.0,10.0,124.0,0.4,1.0,Partially cloudy,partly-cloudy-day
0.2639,"Kozani, Greece",2022-01-06 11:00:00,12.9,12.9,0.0,40.93,0.0,0.0,0.0,18.3,0.0,360.0,1013.0,50.0,10.0,222.0,0.8,2.0,Partially cloudy,partly-cloudy-day
0.2542,"Kozani, Greece",2022-01-06 12:00:00,14.0,14.0,-3.0,30.71,0.0,0.0,0.0,27.0,0.0,0.0,1013.0,50.0,10.0,162.0,0.6,2.0,Partially cloudy,partly-cloudy-day
0.2329,"Kozani, Greece",2022-01-06 13:00:00,14.0,14.0,-2.0,33.07,0.0,0.0,0.0,29.5,0.0,0.0,1012.0,50.0,10.0,253.0,0.9,3.0,Partially cloudy,partly-cloudy-day
